,title,population,visiting_status,datetime_of_data,full_address,bop_region,county,judicial_district,gender
1407,MDC LOS ANGELES,602,Not Suspended,2024-04-02 10:35:17 PDT,"535 N ALAMEDA STREET, LOS ANGELES, CA 90012",Western Region,Los Angeles,Central California,Male and Female
1408,FCI MANCHESTER,"1,108",Not Suspended,2024-04-02 10:35:32 PDT,"805 FOX HOLLOW ROAD, MANCHESTER, KY 40962",Mid-Atlantic Region,Clay,Eastern Kentucky,Male
1409,FCI MARIANNA,"1,227",Not Suspended,2024-04-02 10:35:48 PDT,"3625 FCI ROAD, MARIANNA, FL 32446",Southeast Region,Jackson,Northern Florida,Male and Female
1410,USP MARION,"1,261",Not Suspended,2024-04-02 10:36:03 PDT,"4500 PRISON ROAD, MARION, IL 62959",North Central Region,Williamson,Southern Illinois,Male
1411,USP MCCREARY,"1,517",Not Suspended,2024-04-02 10:36:19 PDT,"330 FEDERAL WAY, PINE KNOT, KY 42635",Mid-Atlantic Region,McCreary,Eastern Kentucky,Male
1412,FCI MCDOWELL,"1,563",Not Suspended,2024-04-02 10:36:34 PDT,"101 FEDERAL DRIVE, WELCH, WV 24801",Mid-Atlantic Region,MCDOWELL,Southern West Virginia,Male
1413,FCI MCKEAN,"1,077",Suspended,2024-04-02 10:36:50 PDT,"6975 ROUTE 59, LEWIS RUN, PA 16738",Northeast Region,MCKEAN,Western Pennsylvania,Male
1414,FCI MEMPHIS,"1,061",Suspended,2024-04-02 10:37:05 PDT,"1101 JOHN A DENIE ROAD, MEMPHIS, TN 38134",Mid-Atlantic Region,SHELBY,Western Tennessee,Male
1415,FCI MENDOTA,943,Not Suspended,2024-04-02 10:37:20 PDT,"33500 WEST CALIFORNIA AVENUE, MENDOTA, CA 93640",Western Region,FRESNO,Eastern District of California,Male
1416,FCI MIAMI,"1,001",Not Suspended,2024-04-02 10:37:36 PDT,"15801 S.W. 137TH AVENUE, MIAMI, FL 33177",Southeast Region,Miami-Dade,Southern Florida,Male
1417,FDC MIAMI,909,Not Suspended,2024-04-02 10:37:51 PDT,"33 NE 4TH STREET, MIAMI, FL 33132",Southeast Region,Miami-Dade,Southern Florida,Male and Female
1418,FCI MILAN,"1,586",Not Suspended,2024-04-02 10:38:07 PDT,"4004 EAST ARKONA ROAD, MILAN, MI 48160",North Central Region,WASHTENAW,Eastern Michigan,Male
1419,FPC MONTGOMERY,662,Not Suspended,2024-04-02 10:38:22 PDT,"MAXWELL AIR FORCE BASE, MONTGOMERY, AL 36112",Southeast Region,MONTGOMERY,Middle Alabama,Male
1420,FCI MORGANTOWN,368,Not Suspended,2024-04-02 10:38:40 PDT,"446 GREENBAG ROAD, ROUTE 857, MORGANTOWN, WV 26501",Mid-Atlantic Region,Monongalia,Northern West Virginia,Male
1421,MCC NEW YORK,0,Suspended,2024-04-02 10:38:56 PDT,"150 PARK ROW, NEW YORK, NY 10007",Northeast Region,New York,Southern New York,Male
1422,FCI OAKDALE II,"1,116",Not Suspended,2024-04-02 10:39:11 PDT,"2105 EAST WHATLEY ROAD, OAKDALE, LA 71463",South Central Region,ALLEN,Western Louisiana,Male
1423,FCI OAKDALE I,819,Not Suspended,2024-04-02 10:39:27 PDT,"1507 EAST WHATLEY ROAD, OAKDALE, LA 71463",South Central Region,ALLEN,Western Louisiana,Male
1424,FTC OKLAHOMA CITY,"1,276",Not Suspended,2024-04-02 10:39:42 PDT,"7410 S. MACARTHUR BLVD, OKLAHOMA CITY, OK 73169",South Central Region,OKLAHOMA,Western Oklahoma,Male and Female
1425,FCI OTISVILLE,"1,064",Not Suspended,2024-04-02 10:39:58 PDT,"TWO MILE DRIVE, OTISVILLE, NY 10963",Northeast Region,ORANGE,Southern New York,Male
1426,FCI OXFORD,"1,085",Not Suspended,2024-04-02 10:40:13 PDT,"COUNTY ROAD G & ELK AVENUE, OXFORD, WI 53952",North Central Region,ADAMS,Western Wisconsin,Male
1427,FCI PEKIN,"1,257",Not Suspended,2024-04-02 10:40:29 PDT,"2600 S. SECOND ST., PEKIN, IL 61554",North Central Region,TAZEWELL,Central Illinois,Male and Female
1428,FPC PENSACOLA,434,Not Suspended,2024-04-02 10:40:44 PDT,"110 RABY AVE, PENSACOLA, FL 32509",Southeast Region,ESCAMBIA,Northern Florida,Male
1429,FCI PETERSBURG MEDIUM,"1,662",Not Suspended,2024-04-02 10:41:00 PDT,"1060 RIVER ROAD, HOPEWELL, VA 23860",Mid-Atlantic Region,Hopewell City,Eastern Virginia,Male
1430,FCI PETERSBURG LOW,665,Not Suspended,2024-04-02 10:41:15 PDT,"1100 RIVER ROAD, HOPEWELL, VA 23860",Mid-Atlantic Region,Hopewell City,Eastern Virginia,Male
1431,FDC PHILADELPHIA,892,Not Suspended,2024-04-02 10:41:31 PDT,"700 ARCH STREET, PHILADELPHIA, PA 19106",Northeast Region,Philadelphia,Eastern Pennsylvania,Male and Female
1432,FCI PHOENIX,"1,177",Suspended,2024-04-02 10:41:46 PDT,"37900 N 45TH AVE, PHOENIX, AZ 85086",Western Region,Maricopa,Arizona,Male and Female
1433,FCI POLLOCK,"1,554",Not Suspended,2024-04-02 10:42:02 PDT,"1000 AIRBASE ROAD, POLLOCK, LA 71467",South Central Region,GRANT,Western Louisiana,Male
1434,USP POLLOCK,"1,129",Not Suspended,2024-04-02 10:42:17 PDT,"1000 AIRBASE ROAD, POLLOCK, LA 71467",South Central Region,Grant,Western Louisiana,Male
1435,FCI RAY BROOK,641,Not Suspended,2024-04-02 10:42:33 PDT,"128 RAY BROOK ROAD, RAY BROOK, NY 12977",Northeast Region,Essex,Northern New York,Male
1436,FMC ROCHESTER,647,Not Suspended,2024-04-02 10:42:49 PDT,"2110 EAST CENTER STREET, ROCHESTER, MN 55904",North Central Region,OLMSTED,Minnesota,Male
1437,FCI SAFFORD,658,Not Suspended,2024-04-02 10:43:04 PDT,"1529 WEST HIGHWAY 366, SAFFORD, AZ 85546",Western Region,Graham,Arizona,Male
1438,MCC SAN DIEGO,628,Not Suspended,2024-04-02 10:43:20 PDT,"808 UNION STREET, SAN DIEGO, CA 92101",Western Region,San Diego,Southern California,Male and Female
1439,FCI SANDSTONE,"1,122",Not Suspended,2024-04-02 10:43:35 PDT,"2300 COUNTY RD 29, SANDSTONE, MN 55072",North Central Region,Pine,Minnesota,Male
1440,FCI SCHUYLKILL,"1,128",Suspended,2024-04-02 10:43:50 PDT,"INTERSTATE 81 & 901 W, MINERSVILLE, PA 17954",Northeast Region,SCHUYLKILL,Middle Pennsylvania,Male
1441,FCI SEAGOVILLE,"1,718",Not Suspended,2024-04-02 10:44:06 PDT,"2113 NORTH HWY 175, SEAGOVILLE, TX 75159",South Central Region,Dallas,Northern Texas,Male
1442,FDC SEATAC,797,Suspended,2024-04-02 10:44:22 PDT,"2425 SOUTH 200TH STREET, SEATTLE, WA 98198",Western Region,King,Western Washington,Male and Female
1443,FCI SHERIDAN,"1,594",Not Suspended,2024-04-02 10:44:37 PDT,"27072 BALLSTON ROAD, SHERIDAN, OR 97378",Western Region,YAMHILL,Oregon,Male
1444,MCFP SPRINGFIELD,996,Not Suspended,2024-04-02 10:44:53 PDT,"1900 W. SUNSHINE ST, SPRINGFIELD, MO 65807",North Central Region,GREENE,Western Missouri,Male
1445,FCI TALLADEGA,"1,149",Not Suspended,2024-04-02 10:45:09 PDT,"565 EAST RENFROE ROAD, TALLADEGA, AL 35160",Southeast Region,Talladega,Northern Alabama,Male
1446,FCI TALLAHASSEE,"1,067",Not Suspended,2024-04-02 10:45:24 PDT,"501 CAPITAL CIRCLE, NE, TALLAHASSEE, FL 32301",Southeast Region,Leon,Northern Florida,Male and Female
1447,FCI TERMINAL ISLAND,933,Not Suspended,2024-04-02 10:45:40 PDT,"1299 SEASIDE AVENUE, SAN PEDRO, CA 90731",Western Region,LOS ANGELES,Central California,Male
1448,FCI TERRE HAUTE,"1,355",Suspended,2024-04-02 10:45:55 PDT,"4200 BUREAU ROAD NORTH, TERRE HAUTE, IN 47808",North Central Region,VIGO,Southern Indiana,Male
1449,USP TERRE HAUTE,"1,253",Not Suspended,2024-04-02 10:46:11 PDT,"4700 BUREAU ROAD SOUTH, TERRE HAUTE, IN 47802",North Central Region,VIGO,Southern Indiana,Male
1450,FCI TEXARKANA,"1,224",Not Suspended,2024-04-02 10:46:26 PDT,"4001 LEOPARD DRIVE, TEXARKANA, TX 75501",South Central Region,Bowie,Eastern Texas,Male
1451,FCI THOMSON,"1,998",Not Suspended,2024-04-02 10:46:42 PDT,"1100 ONE MILE ROAD, THOMSON, IL 61285",North Central Region,CARROLL,Northern District of Illinois,Male
1452,FCI THREE RIVERS,"1,303",Not Suspended,2024-04-02 10:46:57 PDT,"US HIGHWAY 72 WEST, THREE RIVERS, TX 78071",South Central Region,Live Oak,Southern Texas,Male
1453,FCI TUCSON,374,Not Suspended,2024-04-02 10:47:13 PDT,"8901 S. WILMOT ROAD, TUCSON, AZ 85756",Western Region,PIMA,Arizona,Male and Female
1454,USP TUCSON,"1,315",Not Suspended,2024-04-02 10:47:29 PDT,"9300 SOUTH WILMOT ROAD, TUCSON, AZ 85756",Western Region,PIMA,Arizona,Male
1455,FCI VICTORVILLE MEDIUM I,"1,578",Not Suspended,2024-04-02 10:47:44 PDT,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Western Region,SAN BERNARDINO,Central California,Male and Female
1456,FCI VICTORVILLE MEDIUM II,"1,430",Not Suspended,2024-04-02 10:47:59 PDT,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Western Region,SAN BERNARDINO,Central California,Male
1457,USP VICTORVILLE,"1,201",Not Suspended,2024-04-02 10:48:15 PDT,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Western Region,San Bernardino,Central California,Male
1458,FCI WASECA,782,Not Suspended,2024-04-02 10:48:31 PDT,"1000 UNIVERSITY DR, SW, WASECA, MN 56093",North Central Region,Waseca,Minnesota,Female
1459,FCI WILLIAMSBURG,"1,199",Not Suspended,2024-04-02 10:48:46 PDT,"8301 HIGHWAY 521, SALTERS, SC 29590",Southeast Region,Williamsburg,South Carolina,Male
1460,FPC YANKTON,424,Not Suspended,2024-04-02 10:49:02 PDT,"1016 DOUGLAS AVENUE, YANKTON, SD 57078",North Central Region,Yankton,South Dakota,Male
1461,FCI YAZOO CITY MEDIUM,"1,283",Not Suspended,2024-04-02 10:49:17 PDT,"2225 HALEY BARBOUR PARKWAY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male
1462,FCI YAZOO CITY LOW,"1,353",Not Suspended,2024-04-02 10:49:32 PDT,"2225 HALEY BARBOUR PARKWAY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male
1463,USP YAZOO CITY,"1,484",Not Suspended,2024-04-02 10:49:48 PDT,"2225 HALEY BARBOUR PKWY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male
1464,FPC ALDERSON,705,Not Suspended,2024-03-21 10:03:45 PDT,"GLEN RAY RD. BOX A, ALDERSON, WV 24910",Mid-Atlantic Region,GREENBRIER,Southern West Virginia,Female
1465,FCI ALICEVILLE,"1,566",Not Suspended,2024-03-21 10:04:02 PDT,"11070 HIGHWAY 14, ALICEVILLE, AL 35442",Southeast Region,PICKENS,Northern District of Alabama,Female
1466,FCI ALLENWOOD LOW,966,Not Suspended,2024-03-21 10:04:18 PDT,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Northeast Region,UNION,Middle Pennsylvania,Male
1467,FCI ALLENWOOD MEDIUM,"1,258",Not Suspended,2024-03-21 10:04:36 PDT,"RT 15, 2 MI N OF ALLENWOOD, WHITE DEER, PA 17810",Northeast Region,Union,Middle Pennsylvania,Male
1468,USP ALLENWOOD,285,Not Suspended,2024-03-21 10:04:52 PDT,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Northeast Region,Union,Middle Pennsylvania,Male
1469,FCI ASHLAND,"1,280",Not Suspended,2024-03-21 10:05:08 PDT,"ST. ROUTE 716, ASHLAND, KY 41105",Mid-Atlantic Region,BOYD,Eastern Kentucky,Male
1470,USP ATLANTA,"1,823",Not Suspended,2024-03-21 10:05:24 PDT,"601 MCDONOUGH BLVD SE, ATLANTA, GA 30315",Southeast Region,FULTON,Northern Georgia,Male
1471,USP ATWATER,"1,162",Not Suspended,2024-03-21 10:05:39 PDT,"1 FEDERAL WAY, ATWATER, CA 95301",Western Region,MERCED,Eastern California,Male
1472,FCI BASTROP,"1,071",Not Suspended,2024-03-21 10:05:55 PDT,"1341 HIGHWAY 95 NORTH, BASTROP, TX 78602",South Central Region,Bastrop,Western Texas,Male
1473,FCI BEAUMONT LOW,"2,023",Not Suspended,2024-03-21 10:06:10 PDT,"5560 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male
1474,FCI BEAUMONT MEDIUM,"1,613",Not Suspended,2024-03-21 10:06:26 PDT,"5830 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male
1475,USP BEAUMONT,"1,157",Not Suspended,2024-03-21 10:06:42 PDT,"6200 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male
1476,FCI BECKLEY,"1,649",Not Suspended,2024-03-21 10:06:57 PDT,"1600 INDUSTRIAL ROAD, BEAVER, WV 25813",Mid-Atlantic Region,Raleigh,Southern West Virginia,Male
1477,FCI BENNETTSVILLE,"1,620",Not Suspended,2024-03-21 10:07:13 PDT,"696 MUCKERMAN ROAD, BENNETTSVILLE, SC 29512",Southeast Region,Marlboro,South Carolina,Male
1478,FCI BERLIN,835,Not Suspended,2024-03-21 10:07:29 PDT,"1 SUCCESS LOOP ROAD, BERLIN, NH 03570",Northeast Region,COOS COUNTY,District of New Hampshire,Male
1479,USP BIG SANDY,"1,361",Suspended,2024-03-21 10:07:44 PDT,"1197 AIRPORT ROAD, INEZ, KY 41224",Mid-Atlantic Region,Martin,Eastern Kentucky,Male
1480,FCI BIG SPRING,"1,034",Not Suspended,2024-03-21 10:08:00 PDT,"1900 SIMLER AVE, BIG SPRING, TX 79720",South Central Region,HOWARD,Northern Texas,Male
1481,MDC BROOKLYN,"1,346",Not Suspended,2024-03-21 10:08:16 PDT,"80 29TH STREET, BROOKLYN, NY 11232",Northeast Region,KINGS,Eastern New York,Male and Female
1482,FPC BRYAN,682,Not Suspended,2024-03-21 10:08:32 PDT,"1100 URSULINE AVENUE, BRYAN, TX 77803",South Central Region,BRAZOS,Southern Texas,Female
1483,FCI BUTNER MEDIUM II,"1,361",Suspended,2024-03-21 10:08:47 PDT,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male
1484,FCI BUTNER LOW,934,Not Suspended,2024-03-21 10:09:02 PDT,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male
1485,FCI BUTNER MEDIUM I,860,Not Suspended,2024-03-21 10:09:18 PDT,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male
1486,FMC BUTNER,836,Not Suspended,2024-03-21 10:09:35 PDT,"OLD N. CAROLINA HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,Granville,Eastern North Carolina,Male
1487,USP CANAAN,"1,254",Not Suspended,2024-03-21 10:09:51 PDT,"3057 ERIC J. WILLIAMS, WAYMART, PA 18472",Northeast Region,WAYNE,Middle Pennsylvania,Male
1488,FMC CARSWELL,971,Not Suspended,2024-03-21 10:10:07 PDT,"NAVAL AIR STATION, FORT WORTH, TX 76127",South Central Region,TARRANT,Northern Texas,Female
1489,MCC CHICAGO,523,Not Suspended,2024-03-21 10:10:24 PDT,"71 WEST VAN BUREN STREET, CHICAGO, IL 60605",North Central Region,COOK,Northern Illinois,Male and Female
1490,FCI COLEMAN LOW,"2,058",Not Suspended,2024-03-21 10:10:39 PDT,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male
1491,FCI COLEMAN MEDIUM,"1,564",Suspended,2024-03-21 10:10:55 PDT,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male
1492,USP COLEMAN II,"1,135",Not Suspended,2024-03-21 10:11:11 PDT,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male
1493,USP COLEMAN I,"1,368",Suspended,2024-03-21 10:11:27 PDT,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male
1494,FCI CUMBERLAND,"1,040",Not Suspended,2024-03-21 10:11:44 PDT,"14601 BURBRIDGE RD SE, CUMBERLAND, MD 21502",Mid-Atlantic Region,Allegany,Maryland,Male
1495,FCI DANBURY,"1,082",Not Suspended,2024-03-21 10:12:00 PDT,"33 1/2 PEMBROKE STATION, DANBURY, CT 06811",Northeast Region,FAIRFIELD,Connecticut,Male and Female
1496,FMC DEVENS,910,Not Suspended,2024-03-21 10:12:16 PDT,"42 PATTON ROAD, AYER, MA 01432",Northeast Region,MIDDLESEX,Massachusetts,Male
1497,FCI DUBLIN,656,Not Suspended,2024-03-21 10:12:32 PDT,"5701 8TH ST - CAMP PARKS, DUBLIN, CA 94568",Western Region,Alameda,Northern California,Female
1498,FPC DULUTH,475,Not Suspended,2024-03-21 10:12:47 PDT,"4464 RALSTON DRIVE, DULUTH, MN 55811",North Central Region,SAINT LOUIS,Minnesota,Male
1499,FCI EDGEFIELD,"2,038",Not Suspended,2024-03-21 10:13:03 PDT,"501 GARY HILL ROAD, EDGEFIELD, SC 29824",Southeast Region,Edgefield,South Carolina,Male
1500,FCI EL RENO,"1,195",Not Suspended,2024-03-21 10:13:19 PDT,"4205 HIGHWAY 66 WEST, EL RENO, OK 73036",South Central Region,CANADIAN,Western Oklahoma,Male
1501,FCI ELKTON,"1,846",Not Suspended,2024-03-21 10:13:35 PDT,"8730 SCROGGS ROAD, LISBON, OH 44432",Northeast Region,COLUMBIANA,Northern Ohio,Male
1502,FCI ENGLEWOOD,904,Not Suspended,2024-03-21 10:13:51 PDT,"9595 WEST QUINCY AVENUE, LITTLETON, CO 80123",North Central Region,JEFFERSON,Colorado,Male
1503,FCI ESTILL,65,Not Suspended,2024-03-21 10:14:07 PDT,"100 PRISON ROAD, ESTILL, SC 29918",Southeast Region,HAMPTON,South Carolina,Male
1504,FCI FAIRTON,788,Not Suspended,2024-03-21 10:14:22 PDT,"655 FAIRTON-MILLVILLE ROAD, FAIRTON, NJ 08320",Northeast Region,Cumberland,New Jersey,Male
1505,FCI FLORENCE,"1,196",Not Suspended,2024-03-21 10:14:38 PDT,"5880 HWY 67 SOUTH, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male
1506,USP FLORENCE ADMAX,327,Not Suspended,2024-03-21 10:14:57 PDT,"5880 HWY 67 SOUTH, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male
1507,USP FLORENCE - HIGH,861,Not Suspended,2024-03-21 10:15:13 PDT,"5880 HWY 67 S, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male
1508,FCI FORREST CITY MEDIUM,"1,664",Suspended,2024-03-21 10:15:31 PDT,"1400 DALE BUMPERS ROAD, FORREST CITY, AR 72335",South Central Region,SAINT FRANCIS,Eastern Arkansas,Male
1509,FCI FORREST CITY LOW,"1,748",Not Suspended,2024-03-21 10:15:46 PDT,"1400 DALE BUMPERS ROAD, FORREST CITY, AR 72335",South Central Region,SAINT FRANCIS,Eastern Arkansas,Male
1510,FCI FORT DIX,"3,892",Not Suspended,2024-03-21 10:16:04 PDT,"5756 HARTFORD &, JOINT BASE MDL, NJ 08640",Northeast Region,BURLINGTON,New Jersey,Male
1511,FMC FORT WORTH,"1,481",Not Suspended,2024-03-21 10:16:20 PDT,"3150 HORTON ROAD, FORT WORTH, TX 76119",South Central Region,Tarrant,Northern Texas,Male
1512,FCI GILMER,"1,616",Not Suspended,2024-03-21 10:16:37 PDT,"201 FCI LANE, GLENVILLE, WV 26351",Mid-Atlantic Region,GILMER,Northern West Virginia,Male
1513,FCI GREENVILLE,"1,300",Not Suspended,2024-03-21 10:16:53 PDT,"100 U.S. HWY 40, GREENVILLE, IL 62246",North Central Region,Bond,Southern Illinois,Male and Female
1514,MDC GUAYNABO,"1,135",Not Suspended,2024-03-21 10:17:11 PDT,"652 CARRETERA 28, GUAYNABO, PR 00965",Southeast Region,GUAYNABO,"Puerto Rico, U.S. Virgin Islands",Male and Female
1515,FCI HAZELTON,"2,014",Not Suspended,2024-03-21 10:17:27 PDT,"1640 SKY VIEW DRIVE, BRUCETON MILLS, WV 26525",Mid-Atlantic Region,PRESTON,Northern District of West Virginia,Male and Female
1516,USP HAZELTON,"1,414",Suspended,2024-03-21 10:17:44 PDT,"1640 SKY VIEW DRIVE, BRUCETON MILLS, WV 26525",Mid-Atlantic Region,PRESTON,Northern District of West Virginia,Male
1517,FCI HERLONG,"1,406",Not Suspended,2024-03-21 10:18:00 PDT,"741-925 ACCESS ROAD A-25, HERLONG, CA 96113",Western Region,Lassen,Eastern California,Male
1518,FDC HONOLULU,255,Not Suspended,2024-03-21 10:18:17 PDT,"351 ELLIOTT ST, HONOLULU, HI 96819",Western Region,Honolulu,Hawaii,Male and Female
1519,FDC HOUSTON,711,Not Suspended,2024-03-21 10:18:33 PDT,"1200 TEXAS AVENUE, HOUSTON, TX 77002",South Central Region,Harris,Southern Texas,Male and Female
1520,FCI JESUP,"1,661",Not Suspended,2024-03-21 10:18:54 PDT,"2600 HIGHWAY 301 SOUTH, JESUP, GA 31599",Southeast Region,,Southern Georgia,Male
1521,FCI LA TUNA,662,Not Suspended,2024-03-21 10:19:10 PDT,"8500 DONIPHAN ROAD, ANTHONY, TX 79821",South Central Region,EL PASO,Western Texas,Male
1522,USP LEAVENWORTH,"1,844",Suspended,2024-03-21 10:19:27 PDT,"1300 METROPOLITAN, LEAVENWORTH, KS 66048",North Central Region,Leavenworth,Kansas,Male
1523,USP LEE,"1,392",Not Suspended,2024-03-21 10:19:43 PDT,"LEE COUNTY INDUSTRIAL PARK, PENNINGTON GAP, VA 24277",Mid-Atlantic Region,Lee,Western Virginia,Male
1524,USP LEWISBURG,"1,029",Not Suspended,2024-03-21 10:20:03 PDT,"2400 ROBERT F. MILLER DRIVE, LEWISBURG, PA 17837",Northeast Region,UNION,Middle Pennsylvania,Male
1525,FMC LEXINGTON,"1,246",Not Suspended,2024-03-21 10:20:18 PDT,"3301 LEESTOWN ROAD, LEXINGTON, KY 40511",Mid-Atlantic Region,Fayette,Eastern Kentucky,Male and Female
1526,FCI LOMPOC,892,Not Suspended,2024-03-21 10:20:37 PDT,"3600 GUARD ROAD, LOMPOC, CA 93436",Western Region,SANTA BARBARA,Central California,Male
1527,USP LOMPOC,"2,315",Not Suspended,2024-03-21 10:20:53 PDT,"3901 KLEIN BLVD, LOMPOC, CA 93436",Western Region,SANTA BARBARA,Central California,Male
1528,FCI LORETTO,791,Not Suspended,2024-03-21 10:21:12 PDT,"772 SAINT JOSEPH ST., LORETTO, PA 15940",Northeast Region,CAMBRIA,Western Pennsylvania,Male
1529,MDC LOS ANGELES,616,Not Suspended,2024-03-21 10:21:28 PDT,"535 N ALAMEDA STREET, LOS ANGELES, CA 90012",Western Region,Los Angeles,Central California,Male and Female
1530,FCI MANCHESTER,"1,121",Suspended,2024-03-21 10:21:44 PDT,"805 FOX HOLLOW ROAD, MANCHESTER, KY 40962",Mid-Atlantic Region,Clay,Eastern Kentucky,Male
1531,FCI MARIANNA,"1,233",Not Suspended,2024-03-21 10:21:59 PDT,"3625 FCI ROAD, MARIANNA, FL 32446",Southeast Region,Jackson,Northern Florida,Male and Female
1532,USP MARION,"1,271",Not Suspended,2024-03-21 10:22:16 PDT,"4500 PRISON ROAD, MARION, IL 62959",North Central Region,Williamson,Southern Illinois,Male
1533,USP MCCREARY,"1,503",Not Suspended,2024-03-21 10:22:31 PDT,"330 FEDERAL WAY, PINE KNOT, KY 42635",Mid-Atlantic Region,McCreary,Eastern Kentucky,Male
1534,FCI MCDOWELL,"1,586",Not Suspended,2024-03-21 10:22:52 PDT,"101 FEDERAL DRIVE, WELCH, WV 24801",Mid-Atlantic Region,MCDOWELL,Southern West Virginia,Male
1535,FCI MCKEAN,"1,097",Not Suspended,2024-03-21 10:23:07 PDT,"6975 ROUTE 59, LEWIS RUN, PA 16738",Northeast Region,MCKEAN,Western Pennsylvania,Male
1536,FCI MEMPHIS,"1,067",Not Suspended,2024-03-21 10:23:26 PDT,"1101 JOHN A DENIE ROAD, MEMPHIS, TN 38134",Mid-Atlantic Region,SHELBY,Western Tennessee,Male
1537,FCI MENDOTA,957,Suspended,2024-03-21 10:23:42 PDT,"33500 WEST CALIFORNIA AVENUE, MENDOTA, CA 93640",Western Region,FRESNO,Eastern District of California,Male
1538,FCI MIAMI,987,Not Suspended,2024-03-21 10:24:00 PDT,"15801 S.W. 137TH AVENUE, MIAMI, FL 33177",Southeast Region,Miami-Dade,Southern Florida,Male
1539,FDC MIAMI,987,Not Suspended,2024-03-21 10:24:16 PDT,"33 NE 4TH STREET, MIAMI, FL 33132",Southeast Region,Miami-Dade,Southern Florida,Male and Female
1540,FCI MILAN,"1,537",Not Suspended,2024-03-21 10:24:36 PDT,"4004 EAST ARKONA ROAD, MILAN, MI 48160",North Central Region,WASHTENAW,Eastern Michigan,Male
1541,FPC MONTGOMERY,642,Not Suspended,2024-03-21 10:24:52 PDT,"MAXWELL AIR FORCE BASE, MONTGOMERY, AL 36112",Southeast Region,MONTGOMERY,Middle Alabama,Male
1542,FCI MORGANTOWN,367,Not Suspended,2024-03-21 10:25:11 PDT,"446 GREENBAG ROAD, ROUTE 857, MORGANTOWN, WV 26501",Mid-Atlantic Region,Monongalia,Northern West Virginia,Male
1543,MCC NEW YORK,0,Suspended,2024-03-21 10:25:27 PDT,"150 PARK ROW, NEW YORK, NY 10007",Northeast Region,New York,Southern New York,Male
1544,FCI OAKDALE II,"1,123",Not Suspended,2024-03-21 10:25:45 PDT,"2105 EAST WHATLEY ROAD, OAKDALE, LA 71463",South Central Region,ALLEN,Western Louisiana,Male
1545,FCI OAKDALE I,820,Not Suspended,2024-03-21 10:26:01 PDT,"1507 EAST WHATLEY ROAD, OAKDALE, LA 71463",South Central Region,ALLEN,Western Louisiana,Male
1546,FTC OKLAHOMA CITY,"1,411",Not Suspended,2024-03-21 10:26:19 PDT,"7410 S. MACARTHUR BLVD, OKLAHOMA CITY, OK 73169",South Central Region,OKLAHOMA,Western Oklahoma,Male and Female
1547,FCI OTISVILLE,"1,075",Suspended,2024-03-21 10:26:35 PDT,"TWO MILE DRIVE, OTISVILLE, NY 10963",Northeast Region,ORANGE,Southern New York,Male
1548,FCI OXFORD,"1,069",Not Suspended,2024-03-21 10:26:53 PDT,"COUNTY ROAD G & ELK AVENUE, OXFORD, WI 53952",North Central Region,ADAMS,Western Wisconsin,Male
1549,FCI PEKIN,"1,257",Not Suspended,2024-03-21 10:27:08 PDT,"2600 S. SECOND ST., PEKIN, IL 61554",North Central Region,TAZEWELL,Central Illinois,Male and Female
1550,FPC PENSACOLA,434,Not Suspended,2024-03-21 10:27:28 PDT,"110 RABY AVE, PENSACOLA, FL 32509",Southeast Region,ESCAMBIA,Northern Florida,Male
1551,FCI PETERSBURG MEDIUM,"1,677",Not Suspended,2024-03-21 10:27:43 PDT,"1060 RIVER ROAD, HOPEWELL, VA 23860",Mid-Atlantic Region,Hopewell City,Eastern Virginia,Male
